Rodovia,TipoRodovi,Orientacao,Origem,Municipio,CodRegiona,SedeRegion,KmInicial,KmFinal,Extensao,DescricaoI,DescricaoF,Jurisdicao,Administra,Conservado,TipoPista,Sobreposic,Subposicao,PerimetroU,DataInicio,DataFimCon,EstadualCo,Denominaca,Legislacao,TPUso,TransfMuni,Subtrecho
SP 066,Eixo,Radial,Estadual,Mogi das Cruzes,DR 10,São Paulo,52.8,53.0,0.2,Entroncamento SP 098 (km 53) / Mogi das Cruzes Perímetro Urbano (A),"Entroncamento SP 088 (km 52,1)",Estadual,Prefeitura,Prefeitura,DUP,,,Nã,,,Nã,Henrique Eroles,Lei 5.557 de 26/01/87,TPU 001/2000,,066SPE3781
SP 066,Eixo,Radial,Estadual,Mogi das Cruzes,DR 10,São Paulo,53.0,57.0,4.0,"Entroncamento SP 088 (km 52,1)",Mogi das Cruzes Perímetro Urbano (B),Estadual,Prefeitura,Prefeitura,PAV,,,Nã,,,Nã,Henrique Eroles,Lei 5.557 de 26/01/87,TPU 001/2000,,066SPE4175
SP 066,Eixo,Radial,Estadual,Mogi das Cruzes,DR 10,São Paulo,57.0,60.9,3.9,Mogi das Cruzes Perímetro Urbano (B),Fim Trecho Municipal,Estadual,Prefeitura,Prefeitura,PAV,,,Nã,,,Nã,Henrique Eroles,Lei 5.557 de 26/01/87,TPU 001/2000,,066SPE0341
SP 066,Eixo,Radial,Estadual,Mogi das Cruzes,DR 10,São Paulo,60.9,66.0,5.1,Fim Trecho Municipal,Acesso Sabaúna,Estadual,DER,10.04,PAV,,,Nã,,,Nã,Henrique Eroles,Lei 5.557 de 26/01/87,,,066SPE8737
SP 066,Eixo,Radial,Estadual,Mogi das Cruzes,DR 10,São Paulo,66.0,68.7,2.7,Acesso Sabaúna,Divisa Municipal Mogi das Cruzes / Guararema,Estadual,DER,10.04,PAV,,,Nã,,,Nã,Henrique Eroles,Lei 5.557 de 26/01/87,,,066SPE5274
SP 066,Eixo,Radial,Estadual,Poá,DR 10,São Paulo,34.0,36.2,2.2,Divisa Municipal Itaquaquecetuba / Poá,Divisa Municipal Poá / Suzano,Estadual,Prefeitura,Prefeitura,DUP,,,Nã,,,Nã,João Afonso de Souza Castellano,Lei 3.561 de 20/10/82,TPUso 001/1999,,066SPE9390
SP 088,Eixo,Radial,Estadual,Arujá,DR 10,São Paulo,32.0,33.3,1.3,Entroncamento SP 056 (km 43) / Acesso SP 060 (km 203) (Arujá),Inicio do Trecho Duplicado,Estadual,Concessionária,Novo Litoral,PAV,,,Nã,01 11 2024,01 11 2054,Nã,Pedro Eroles,Lei 9.368 de 03/09/1996 (Esta Lei Alterou A Lei 3.216 de 05/01/1982),,,088SPE6683
SP 088,Eixo,Radial,Estadual,Arujá,DR 10,São Paulo,33.3,37.9,4.6,Inicio do Trecho Duplicado,Divisa Municipal Arujá / Mogi das Cruzes,Estadual,Concessionária,Novo Litoral,DUP,,,Nã,01 11 2024,01 11 2054,Nã,Pedro Eroles,Lei 9.368 de 03/09/1996 (Esta Lei Alterou A Lei 3.216 de 05/01/1982),,,088SPE6664
SP 055,Eixo,Transversal,Estadual,Praia Grande,DR 05,Cubatão,286.72,291.0,4.28,Divisa Municipal São Vicente / Praia Grande,Entroncamento SPA 291/055 (para Praia Grande),Estadual,Concessionária,Ecovias,DUP,,,Nã,29 05 1998,29 03 2034,Sim,"Padre Manoel da Nobrega, Via",Dec. 52.258 de 05/08/69,,,055SPE1543
SP 055,Eixo,Transversal,Estadual,Praia Grande,DR 05,Cubatão,291.0,292.2,1.2,Entroncamento SPA 291/055 (para Praia Grande),Final Trecho Ecovias,Estadual,Concessionária,Ecovias,DUP,,,Nã,29 05 1998,29 03 2034,Sim,"Padre Manoel da Nobrega, Via",Dec. 52.258 de 05/08/69,,,055SPE5627
